date,forecast,lower,upper
2026-01-01,16700.035424687798,16210.16810086365,17189.902748511948
2026-02-01,16734.898471891556,15964.85340057096,17504.94354321215
2026-03-01,16775.480076208572,15881.832949614858,17669.127202802287
2026-04-01,16805.953425539188,15831.366246899259,17780.540604179118
2026-05-01,16832.374003576944,15770.394217715133,17894.353789438755
2026-06-01,16861.29251881696,15707.755764391504,18014.82927324242
2026-07-01,16892.090112430684,15655.523896820865,18128.656328040503
2026-08-01,16922.457212339323,15611.62498822446,18233.289436454186
2026-09-01,16952.10796241951,15571.188774195358,18333.027150643666
2026-10-01,16981.749356314704,15533.118198218934,18430.380514410474
2026-11-01,17011.626916039953,15498.044360988906,18525.209471091
2026-12-01,17041.557855158382,15465.955734240759,18617.159976076007
2027-01-01,17071.42164071164,15436.284813508402,18706.558467914878
2027-02-01,17101.25338587204,15408.62285965733,18793.883912086756
2027-03-01,17131.100636949945,15382.813702436391,18879.3875714635
2027-04-01,17160.96184065846,15358.741802848712,18963.181878468207
2027-05-01,17190.820859149997,15336.253030639085,19045.388687660907
2027-06-01,17220.674773824278,15315.198681048249,19126.150866600306
2027-07-01,17250.52832862689,15295.464006961853,19205.592650291925
2027-08-01,17280.383503642097,15276.956287366951,19283.81071991724
2027-09-01,17310.239143168794,15259.590589803662,19360.887696533926
2027-10-01,17340.09434291349,15243.288435970824,19436.900249856153
2027-11-01,17369.949294617556,15227.9802103787,19511.91837885641
2027-12-01,17399.804339734903,15213.604568840947,19586.00411062886
2028-01-01,17429.65948719911,15200.106334205591,19659.21264019263
2028-02-01,17459.514625392123,15187.435262729581,19731.593988054665
2028-03-01,17489.369727585534,15175.545637400617,19803.19381777045
2028-04-01,17519.224825198584,15164.395883380204,19874.053767016965
2028-05-01,17549.079933805097,15153.94803246779,19944.211835142403
2028-06-01,17578.935046274393,15144.16723985092,20013.70285269787
2028-07-01,17608.79015591102,15135.021433425329,20082.558878396714
2028-08-01,17638.64526366048,15126.481033527181,20150.80949379378
2028-09-01,17668.50037195,15118.518694453049,20218.482049446946
2028-10-01,17698.355480981878,15111.109069806513,20285.601892157243
2028-11-01,17728.210589992224,15104.228611099585,20352.192568884864
2028-12-01,17758.065698751183,15097.855395365073,20418.276002137292
2029-01-01,17787.92080746379,15091.968973356805,20483.872641570775
2029-02-01,17817.775916250106,15086.55023428246,20549.00159821775
2029-03-01,17847.631025067523,15081.581285881915,20613.68076425313
2029-04-01,17877.486133867053,15077.045348335128,20677.926919398975
2029-05-01,17907.341242652437,15072.926659899756,20741.75582540512
2029-06-01,17937.196351440758,15069.210392507246,20805.18231037427
2029-07-01,17967.051460234405,15065.882576083817,20868.220344384994
2029-08-01,17996.90656902821,15062.930030596843,20930.88310745958
2029-09-01,18026.76167782028,15060.340304892696,20993.183050747863
2029-10-01,18056.616786611925,15058.10162149048,21055.13195173337
2029-11-01,18086.471895404058,15056.202826630075,21116.74096417804
2029-12-01,18116.327004196435,15054.633344982281,21178.02066341059
2030-01-01,18146.182112988703,15053.383138503843,21238.981087473563
2030-02-01,18176.037221780865,15052.442668981614,21299.631774580117
2030-03-01,18205.892330573042,15051.802863867919,21359.981797278164
2030-04-01,18235.747439365256,15051.455085060565,21420.03979366995
2030-05-01,18265.602548157472,15051.391100323606,21479.81399599134
2030-06-01,18295.45765694968,15051.603057081,21539.312256818357
2030-07-01,18325.31276574188,15052.083458346488,21598.542073137272
2030-08-01,18355.167874534087,15052.825140580644,21657.51060848753
2030-09-01,18385.022983326293,15053.821253289809,21716.224713362775
2030-10-01,18414.8780921185,15055.065240202337,21774.69094403466
2030-11-01,18444.733200910705,15056.550821875602,21832.91557994581
2030-12-01,18474.58830970291,15058.271979603058,21890.904639802764
